lemma	instance_id	arg	issue	value
alienação	dante_01_456785224643657728l::alienação::1	Arg1	not-literal-substring	De Particiacao Acionaria
antro	dante_01_447207141154504706l::antro::1	Arg1	not-literal-substring	corrupção e inépcia
aquisição	dante_01_444482105675104256l::aquisição::1	Arg1	not-literal-substring	de Acoes Remanescentes De o Leilao
aquisição	dante_01_453879051196039169l::aquisição::1	Arg1	not-literal-substring	de Direitos Economicos - federal Foods
aquisição	dante_01_453974274265862144l::aquisição::1	Arg1	not-literal-substring	de Cias
aquisição	dante_01_461472300324626433l::aquisição::1	Arg1	not-literal-substring	de Quotas
aquisição	dante_01_461125555522240512l::aquisição::1	Arg1	not-literal-substring	ações
aquisição	dante_01_461125555522240512l::aquisição::1	Arg2	not-literal-substring	Banco Santander ( SANB11 )
briga	dante_01_444463565375033344l::briga::1	Arg2	not-literal-substring	12.94
briga	dante_01_444463565375033344l::briga::1	Arg2	null-pairing-mismatch	'12.94'/None
briga	dante_01_449601961852403713l::briga::1	Arg2	not-literal-substring	15.35
briga	dante_01_449601961852403713l::briga::1	Arg2	null-pairing-mismatch	'15.35'/None
briga	dante_01_449627192734265344l::briga::1	Arg2	not-literal-substring	15.35
briga	dante_01_449627192734265344l::briga::1	Arg2	null-pairing-mismatch	'15.35'/None
briga	dante_01_446999581071790081l::briga::1	Arg2	not-literal-substring	13.5
briga	dante_01_446999581071790081l::briga::1	Arg2	null-pairing-mismatch	'13.5'/None
candidato	dante_01_450605466079723520l::candidato::1	Arg1	not-literal-substring	de Candidatos
candidato	dante_01_451724418772131840l::candidato::1	Arg1	not-literal-substring	de Candidatos
candidato	dante_01_446349257180606464l::candidato::1	Arg1	null-pairing-mismatch	'candidato'/None
candidato	dante_01_460756892646907904l::candidato::1	Arg1	not-literal-substring	de Candidato
candidato	dante_01_449551026488893440l::candidato::1	Arg1	not-literal-substring	de Candidatos
candidato	dante_01_456080818830864384l::candidato::1	Arg1	not-literal-substring	de Candidatos
causa	dante_01_443551844603035648l::causa::1	Arg0	not-literal-substring	Jean Willis
chance	dante_01_454332111319998466l::chance::1	Arg1	not-literal-substring	de desabar - acl
comparação	dante_01_456818046393262080l::comparação::1	Arg2	not-literal-substring	com a dasa
compra	dante_01_445910769411293184l::compra::1	Arg1	not-literal-substring	rompimento
compra	dante_01_445910769411293184l::compra::1	Arg1	null-pairing-mismatch	'rompimento'/None
compra	dante_01_445921872178610176l::compra::1	Arg1	not-literal-substring	rompimento
compra	dante_01_445921872178610176l::compra::1	Arg1	null-pairing-mismatch	'rompimento'/None
confirmação	dante_01_461510589626728448l::confirmação::1	Arg1	not-literal-substring	de o rompimento de os R$ 16,60
convocação	dante_01_454753167272869888l::convocação::1	Arg1	not-literal-substring	para a AGO
coordenador	dante_01_464368387788136448l::coordenador::1	Arg1	not-literal-substring	De o Comite de Auditoria
